Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bulgaria,BGR,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.467692842,9.346557281,7.639156868,6.131318331,5.094077756,5.192918329,5.373800459,9.914262085,0.965210424,-12.50000002,-18.59999926,-6.400001292,-6.199999429,5.999999306,-5.470486293,0.540294772,8.314627029,2.680326188,-0.865114305,10.88464636,6.230077212,4.568879657,7.634394943,3.980451473,4.482333195,9.252387764,11.98002219,5.542250123,-2.796274795,-7.155681228,2.16105148,3.953225582,-2.837786969,0.555568154,4.39797823,3.925891581,0.978815944,-1.146697192,0.010748413,-6.825513212,0.968439018,12.76887083,-4.113341845,1.86672581
Bahrain,BHR,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.780991216,4.686709373,0.075137155,2.343973123,1.065860176,-1.791445045,8.837303502,4.896305295,1.345234275,2.937775103,0.875267252,0.809524892,1.880361793,-0.611346142,3.859121112,1.678133525,0.067296643,
"Bahamas, The",BHS,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.847212132,-2.781229494,1.356372775,-10.72531123,12.08193797,-0.635092674,3.051961019,33.41703826,11.35734072,-5.489220564,8.255834357,-14.10973337,5.774674467,15.20963426,-4.274099884,12.32710507,14.50277238,-22.82875291,13.39744112,-7.531440891,15.03847051,4.83042832,9.583037958,-6.345565749,10.33594976,-10.68806556,18.35850379,-8.027350059,-7.98454604,1.863986259,-25.0374719,5.790219112,-4.29201449,8.755039908,12.47635621
Bosnia and Herzegovina,BIH,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.204021167,3.071436072,6.018892968,8.158794788,10.13046407,9.504042413,8.099605645,9.13808371,-4.586376541,1.636302319,-0.32201539,-2.573029118,3.932665066,1.727902582,0.677509694,4.860790364,4.998949284,3.90398388,-0.673052331,-1.946476482,9.095176115,1.825116229,-0.726119999,-2.430634807
Belarus,BLR,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.419842782,-8.389325845,-11.7129812,-17.36127441,-13.44112026,3.372658829,17.96421238,10.84166274,7.570680947,5.816849784,4.79973395,6.971359666,10.61760602,18.82974183,13.55446343,14.14235711,9.30020197,15.54315652,0.303744128,11.90691386,7.646744839,2.705374594,-1.780468149,1.284891587,-7.345260203,-4.011419625,4.126187496,5.19010757,1.426629014,-0.338249534,2.841004369,-6.249552079,8.105840049,5.961632396
Belize,BLZ,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,6.212794992,13.69614969,9.021033564,11.51240752,6.359337362,-0.521505228,15.22764988,7.554704854,5.711058531,21.21563327,3.336113428,-4.721549637,-3.091910208,2.928321678,0.16985138,3.518440017,12.81736282,8.784029038,19.05238572,11.60313901,8.638874937,10.81830791,9.345014602,-9.919877909,2.054214316,-0.996057273,1.089918256,0.497615592,9.407881164,28.68187818,-4.410902696,-0.045991108,-10.42944785,8.082191781,0.364385298,15.4222573,6.660284464,-5.449416592,6.048277733,-11.67519182,-1.969016939,-10.17574952,4.20914173,6.879141685,-2.494833186,8.175624527,-7.193841847,0.226210225,5.010532651,-3.309929789,18.7611144,-1.222859995,-2.475997979,4.769430052
Bermuda,BMU,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.33924791,-9.343446568,-3.708647985,-3.559034618,-1.024734662,0.788891913,4.182075778,7.911335271,15.64437872,-16.39932983,0.460826921,5.322016004,-3.591373739,
Bolivia,BOL,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,-1.464843724,10.1090188,9.989959869,6.709265169,10.2651839,8.960434449,11.96155215,6.00953898,7.168566263,4.170165138,7.279263814,12.19332229,9.963827671,2.399820575,3.287824594,3.899439225,6.492505166,0.971039182,-4.528007423,-5.657289747,-3.323283043,-9.235660672,-1.155711836,-4.25807136,-7.313239804,-9.51561648,3.602570168,4.010957167,7.994414322,7.090035874,4.213862065,1.798305373,5.425097609,4.677297841,6.987587364,3.06045499,3.714006589,7.08099142,-1.961292955,2.433273261,0.207333244,2.679044275,0.895123728,6.302877448,6.474670682,6.93429527,6.99792161,10.57984917,2.896251763,3.843101916,4.866376542,5.203911938,7.53006734,5.236424466,2.621170661,4.008365454,2.249260262,2.27688047,0.123099561,-11.84006971,9.561487311,1.034178585,1.060742101,
Brazil,BRA,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,9.496208363,6.943633656,0.142309589,6.204450395,-1.422161784,10.7630833,3.311162118,14.43706241,11.11300227,16.35706029,11.81061938,14.18884417,17.03858525,8.49387735,4.900881304,11.73577975,3.144534637,6.439828034,6.79716483,9.25,-8.84,-0.04,-5.92,6.31,8.27,11.66,0.99,-2.6,2.86,-8.18,0.260000006,-4.220000002,7.009999993,6.731315445,1.912212098,0.974616595,4.374992445,-2.090004342,-2.607915511,4.411836283,-0.642399985,3.803219394,0.103619608,8.214889566,1.994387132,2.006454815,6.206664154,4.099611406,-4.702288796,10.2030713,4.114325151,-0.722824356,2.166218432,-1.508183791,-5.761503313,-4.566298561,-0.500729977,0.716981139,-0.670037547,-2.970910746,5.035312059,1.520831625,1.678342921,3.27698531
Barbados,BRB,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,15.5215255,-1.481562222,9.271001115,5.288000015,3.848358322,-1.397353777,-6.848584839,2.566313235,1.77414147,-6.137070366,5.825491305,-2.216217126,7.15880972,5.8185848,-4.599701568,-4.915694987,-12.63866809,1.373472756,0.730479646,6.25909094,5.660029811,7.225217653,-6.328371322,1.266035036,-0.749307331,-1.89218835,4.183865317,-0.474383704,2.551792397,7.044489028,-3.848392654,-0.102390182,6.475287417,-14.82572748,-10.03320023,-0.943074911,-1.620219921,-0.80801459,0.025021125,3.499802153,-0.878838619,0.813825183,-4.016223879,0.420516657,-6.563369281,0.423427388,8.494908843,-1.344117509,
Brunei Darussalam,BRN,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,-1.586351312,21.6153266,8.830046999,6.96513404,26.05568083,-11.68099942,-24.19715675,0.47465367,0.547048116,-3.322319247,-3.111639189,-6.320405976,1.449384243,-3.059622249,-4.709364367,2.388618905,3.196402823,-5.11029593,-2.089384205,-0.49703352,1.257710245,1.514507371,4.0682605,-8.447199464,4.238284536,3.226912969,0.286960001,3.79841475,4.048804604,-0.705395765,-2.374380305,3.627533861,-6.662290994,-6.458867626,-4.515544508,2.17973344,3.248369687,-1.387163844,-5.636112448,-4.363067421,-0.033795363,-2.942531368,1.514467595,-0.36379885,4.191816826,2.909148911,-4.166801116,-4.907099786,-1.858231834,5.706879669
Bhutan,BTN,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,69.98208208,7.539683408,27.95076936,2.205250408,-5.905130355,26.90973588,89.21741457,-0.801522925,9.79423801,-1.266220831,-2.591491778,15.03271839,1.322178623,7.036072552,15.96105715,3.583545244,-0.842265239,4.691576515,15.07647457,7.256610364,13.59620633,17.39299899,9.012076301,2.313947376,3.460536105,7.719183864,38.64438548,5.509914271,3.856588205,12.74428209,4.755171369,7.148517047,4.208296754,4.045552827,8.505821525,7.438986873,2.80198343,-3.996553733,-1.334933654,-14.39703638,3.944465937,5.596881726,-0.029126156,
Botswana,BWA,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,-2.162180746,3.314946249,-7.48660496,50.0742632,65.97951424,-4.475376121,5.779612273,-8.300469573,114.0366121,70.51056169,23.71400478,26.37574243,21.24154951,8.995482372,20.46766775,13.11761635,22.41211651,20.84204446,10.73827524,21.3371109,17.582265,22.37700351,22.4936758,8.333619009,3.501096017,7.127100584,8.687192265,16.35903775,10.59485627,3.878604594,4.612399892,-1.820789557,-0.836820481,2.552777102,7.134799282,-0.658725273,6.57371706,-1.525246493,6.671219359,6.805429209,0.40598203,12.75227374,1.835751487,-1.148032952,5.637008523,7.799628346,2.550584477,-2.244771417,-31.74839994,16.81979561,9.203692544,-3.736271951,14.93802803,5.91706975,-10.51601764,3.303649434,4.864774119,5.436493528,-1.485259579,-20.53752853,19.32721152,7.650955968,2.2601524,-13.51124748
Central African Republic,CAF,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.741202549,12.66665915,7.249946187,-45.79416569,-14.91957705,12.28734225,2.861649392,1.738444688,-0.279909395,12.06406749,-0.008503975,29.45983042,-1.500034375,-10.28282156,9.746590247
Canada,CAN,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.856876815,5.97758001,6.328741725,-0.658091075,2.972732087,0.927116742,3.318075058,2.98166727,1.10856641,0.541364293,-1.465877511,-9.820672993,6.681882999,4.542525111,2.385113566,2.599366346,4.281584738,-1.11607448,-1.454599281,3.731012416,3.29696357,0.292453251,-5.849110596,6.0887364,3.023313732,-0.337011018,-0.041829621
Central Europe and the Baltics,CEB,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.626511997,0.537379221,1.280246287,0.521928122,2.603661719,2.897953341,3.656913183,5.54598946,7.932213935,5.683677672,10.10894701,7.442438918,5.044821395,-5.643730843,3.541036745,5.546752931,-2.641718957,-2.107205805,6.407463336,5.309613477,1.690282895,3.639667367,4.695208344,3.053607483,-5.567662583,3.107830156,2.113514026,-0.898419506,
Switzerland,CHE,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097092812,-0.167626786,-0.137141983,3.630486273,-0.673281137,-2.04693847,0.053252993,1.327990993,0.361132197,1.040269884,3.785469388,1.129376055,-0.331418103,0.020980395,4.110142055,4.505304993,3.232825833,2.690009795,-9.07407615,6.204688328,6.185899278,-1.210802307,2.124794606,0.389222845,-0.290181024,1.879736743,4.306291437,5.567258399,2.655399984,-3.807635801,13.90346907,3.406618463,-2.349028805,1.654015015
Channel Islands,CHI,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.083956013,0.993724871,0.786103675,-12.74417287,26.64683511,-0.112759091,1.257443132,
